ETER_ID,Name,Category,Institution_Category_Standardized,Member_of_European_University_alliance,Url,NUTS2,NUTS2_Label_2016,NUTS2_Label_2021,NUTS3,NUTS3_Label_2016,NUTS3_Label_2021
IT0198,"Istituto Superiore di Studi Musicali di BERGAMO ""Gaetano Donizetti""",private,Other,No,www.consbg.it,ITC4,Lombardia,Lombardia,ITC46,Bergamo,Bergamo
IT0199,"Istituto Superiore di Studi Musicali di CALTANISSETTA ""Vincenzo Bellini""",private,Other,No,www.issmbellini.cl.it,ITG1,Sicilia,Sicilia,ITG15,Caltanissetta,Caltanissetta
IT0202,"Istituto Superiore di Studi Musicali di CATANIA ""Vincenzo Bellini""",private,Other,No,www.istitutobellini.it,ITG1,Sicilia,Sicilia,ITG17,Catania,Catania
IT0203,"Istituto Superiore di Studi Musicali di CREMONA ""Claudio Monteverdi""",private,Other,No,www.conscremona.it,ITC4,Lombardia,Lombardia,ITC4A,Cremona,Cremona
IT0204,"Istituto Superiore di Studi Musicali di GALLARATE (VA) ""Giacomo Puccini""",private,Other,No,www.issmpuccinigallarate.it,ITC4,Lombardia,Lombardia,ITC41,Varese,Varese
IT0205,"Istituto Superiore di Studi Musicali di LIVORNO ""Pietro Mascagni""",private,Other,No,www.consli.it,ITI1,Toscana,Toscana,ITI16,Livorno,Livorno
IT0206,"Istituto Superiore di Studi Musicali di LUCCA ""Luigi Boccherini""",private,Other,No,www.boccherini.it,ITI1,Toscana,Toscana,ITI12,Lucca,Lucca
IT0208,"Istituto Superiore di Studi Musicali di NOCERA TERINESE (CZ) ""P.I. Tchaikovsky""",private,Other,No,www.conscz.it,ITF6,Calabria,Calabria,ITF63,Catanzaro,Catanzaro
IT0209,"Istituto Superiore di Studi Musicali di PAVIA ""Franco Vittadini""",private,Other,No,conspv.it,ITC4,Lombardia,Lombardia,ITC48,Pavia,Pavia
IT0210,"Istituto Superiore di Studi Musicali di RAVENNA ""Giuseppe Verdi""",private,Other,No,www.verdiravenna.it,ITH5,Emilia-Romagna,Emilia-Romagna,ITH57,Ravenna,Ravenna
IT0212,"Istituto Superiore di Studi Musicali di RIMINI ""G. Lettimi""",private,Other,No,www.istitutolettimi.it,ITH5,Emilia-Romagna,Emilia-Romagna,ITH59,Rimini,Rimini
IT0213,"Istituto Superiore di Studi Musicali di SIENA ""Rinaldo Franci""",private,Other,No,www.istitutofranci.com,ITI1,Toscana,Toscana,ITI19,Siena,Siena
IT0214,"Istituto Superiore di Studi Musicali di TARANTO ""Giovanni Paisiello""",private,Other,No,www.paisiello.it,ITF4,Puglia,Puglia,ITF43,Taranto,Taranto
IT0215,"Conservatorio di TERAMO ""Gaetano Braga""",public,Other,No,www.istitutobraga.it,ITF1,Abruzzo,Abruzzo,ITF12,Teramo,Teramo
IT0216,"Istituto Superiore di Studi Musicali di TERNI ""Giulio Briccialdi""",private,Other,No,www.briccialditerni.it,ITI2,Umbria,Umbria,ITI22,Terni,Terni
IT0217,Istituto Superiore per le Industrie Artistiche (ISIA) di FAENZA (RA),public,Other,No,www.isiafaenza.it,ITH5,Emilia-Romagna,Emilia-Romagna,ITH57,Ravenna,Ravenna
IT0218,Istituto Superiore per le Industrie Artistiche (ISIA) di FIRENZE,public,Other,No,www.isiadesign.fi.it,ITI1,Toscana,Toscana,ITI14,Firenze,Firenze
IT0219,Istituto Superiore per le Industrie Artistiche (ISIA) di ROMA,public,Other,No,www.isiaroma.it,ITI4,Lazio,Lazio,ITI43,Roma,Roma
IT0220,Istituto Superiore per le Industrie Artistiche (ISIA) di URBINO (PU),public,Other,No,isiaurbino.net,ITI3,Marche,Marche,ITI31,Pesaro e Urbino,Pesaro e Urbino
IT0244,LINK CAMPUS University,private,University,No,www.unilink.it,ITI4,Lazio,Lazio,ITI43,Roma,Roma
IT0245,"Istituto Superiore di Studi Musicali di MODENA e CARPI ""Orazio Vecchi - Antonio Tonelli""",private,Other,No,www.vecchitonelli.it,ITH5,Emilia-Romagna,Emilia-Romagna,ITH54,Modena,Modena
