ETER_ID,country,Name,Category,Institution_Category_Standardized,Member_of_European_University_alliance,NUTS2,NUTS2_Label_2016,NUTS2_Label_2021,NUTS3,NUTS3_Label_2016,NUTS3_Label_2021,assessment_datetime_https,assessment_datetime_sh,score,grade
IT0169,it,"Conservatorio di MESSINA ""Arcangelo Corelli""",public,Other,No,ITG1,Sicilia,Sicilia,ITG13,Messina,Messina,2025-01-27 17:00:42.535108,2025-01-28 11:42:09.140187,71.8,B
IT0170,it,"Conservatorio di MILANO ""Giuseppe Verdi""",public,Other,No,ITC4,Lombardia,Lombardia,ITC4C,Milano,Milano,2025-01-27 16:59:27.104088,2025-01-28 11:42:15.069222,81.06,A
IT0171,it,"Conservatorio di MONOPOLI (BA) ""Nino Rota""",public,Other,No,ITF4,Puglia,Puglia,ITF47,Bari,Bari,2025-01-27 17:01:20.636686,2025-01-28 11:42:19.479432,71.8,B
IT0172,it,"Conservatorio di NAPOLI ""S. Pietro a Majella""",public,Other,No,ITF3,Campania,Campania,ITF33,Napoli,Napoli,2025-01-27 17:02:16.104903,2025-01-28 11:42:29.445802,71.8,B
IT0173,it,"Conservatorio di NOVARA ""Guido Cantelli""",public,Other,No,ITC1,Piemonte,Piemonte,ITC15,Novara,Novara,2025-01-27 17:02:43.520439,2025-01-28 11:42:40.793855,71.8,B
IT0174,it,"Conservatorio di PADOVA ""Cesare Pollini""",public,Other,No,ITH3,Veneto,Veneto,ITH36,Padova,Padova,2025-01-27 17:04:49.554979,2025-01-28 11:42:39.724255,71.8,B
IT0175,it,"Conservatorio di PALERMO ""Vincenzo Bellini""",public,Other,No,ITG1,Sicilia,Sicilia,ITG12,Palermo,Palermo,2025-01-28 17:54:15.942709,2025-01-28 11:42:56.326102,72.4,B
IT0176,it,"Conservatorio di PARMA ""Arrigo Boito""",public,Other,No,ITH5,Emilia-Romagna,Emilia-Romagna,ITH52,Parma,Parma,2025-01-27 17:06:25.351927,2025-01-28 11:42:56.617110,71.8,B
IT0177,it,"Conservatorio di PERUGIA ""Francesco Morlacchi""",public,Other,No,ITI2,Umbria,Umbria,ITI21,Perugia,Perugia,2025-01-27 17:05:22.227332,2025-01-28 11:43:19.468103,74.39,B
IT0178,it,"Conservatorio di PESARO ""Gioacchino Rossini""",public,Other,No,ITI3,Marche,Marche,ITI31,Pesaro e Urbino,Pesaro e Urbino,2025-01-27 17:07:30.155991,2025-01-28 11:43:26.821495,77.55,B
IT0179,it,"Conservatorio di PESCARA ""Luisa d’Annunzio""",public,Other,No,ITF1,Abruzzo,Abruzzo,ITF13,Pescara,Pescara,2025-01-27 17:06:21.761408,2025-01-28 11:43:22.325977,71.8,B
IT0180,it,"Conservatorio di PIACENZA ""Giuseppe Nicolini""",public,Other,No,ITH5,Emilia-Romagna,Emilia-Romagna,ITH51,Piacenza,Piacenza,2025-01-27 17:06:07.009386,2025-01-28 11:43:47.300868,76.7,B
IT0181,it,"Conservatorio di POTENZA ""Gesualdo da Venosa""",public,Other,No,ITF5,Basilicata,Basilicata,ITF51,Potenza,Potenza,2025-01-27 17:06:59.786322,2025-01-28 11:43:51.082132,71.8,B
IT0182,it,"Conservatorio di REGGIO CALABRIA ""Francesco Cilea""",public,Other,No,ITF6,Calabria,Calabria,ITF65,Reggio di Calabria,Reggio di Calabria,2025-01-27 17:08:58.535921,2025-01-28 11:43:51.188129,75.91,B
IT0183,it,"Conservatorio di ROMA ""Santa Cecilia""",public,Other,No,ITI4,Lazio,Lazio,ITI43,Roma,Roma,2025-01-27 17:09:09.042833,2025-01-28 11:44:12.687167,71.8,B
IT0184,it,"Conservatorio di ROVIGO ""Francesco Venezze""",public,Other,No,ITH3,Veneto,Veneto,ITH37,Rovigo,Rovigo,2025-01-27 17:09:59.073616,2025-01-28 11:44:16.732150,16.0,F
IT0185,it,"Conservatorio di SALERNO ""G. Martucci""",public,Other,No,ITF3,Campania,Campania,ITF35,Salerno,Salerno,2025-01-27 17:09:52.242159,2025-01-28 11:44:14.966988,88.38,A
IT0186,it,"Conservatorio di SASSARI ""Luigi Canepa""",public,Other,No,ITG2,Sardegna,Sardegna,ITG2D,,Sassari,2025-01-27 17:09:33.148379,2025-01-28 11:44:34.218114,70.41,B
IT0187,it,"Conservatorio di TORINO ""Giuseppe Verdi""",public,Other,No,ITC1,Piemonte,Piemonte,ITC11,Torino,Torino,2025-01-27 17:12:33.722919,2025-01-28 11:44:36.317970,71.8,B
IT0188,it,"Conservatorio di TRAPANI ""Antonio Scontrino""",public,Other,No,ITG1,Sicilia,Sicilia,ITG11,Trapani,Trapani,2025-01-27 17:11:07.017199,2025-01-28 11:44:55.529501,0.0,F
IT0189,it,"Conservatorio di TRENTO ""Francesco A. Bonporti""",public,Other,No,ITH2,Provincia Autonoma di Trento,Provincia Autonoma di Trento,ITH20,Trento,Trento,2025-01-27 17:13:27.211469,2025-01-28 11:44:57.416866,71.8,B
IT0190,it,"Conservatorio di TRIESTE ""Giuseppe Tartini""",public,Other,No,ITH4,Friuli-Venezia Giulia,Friuli-Venezia Giulia,ITH44,Trieste,Trieste,2025-01-27 17:12:19.324493,2025-01-28 11:44:56.750387,82.43,A
IT0191,it,"Conservatorio di UDINE ""Jacopo Tomadini""",public,Other,No,ITH4,Friuli-Venezia Giulia,Friuli-Venezia Giulia,ITH42,Udine,Udine,2025-01-27 17:11:53.811568,2025-01-28 11:45:17.031072,75.91,B
IT0192,it,"Conservatorio di VENEZIA ""Benedetto Marcello"" - palazzo pisani",public,Other,No,ITH3,Veneto,Veneto,ITH35,Venezia,Venezia,2025-01-27 17:15:05.589795,2025-01-28 11:45:18.094496,71.8,B
IT0193,it,"Conservatorio di VERONA ""E. F. dall’Abaco""",public,Other,No,ITH3,Veneto,Veneto,ITH31,Verona,Verona,2025-01-27 17:13:22.340402,2025-01-28 11:45:27.051166,71.8,B
IT0194,it,"Conservatorio di VIBO VALENTIA ""Fausto Torrefranca""",public,Other,No,ITF6,Calabria,Calabria,ITF64,Vibo Valentia,Vibo Valentia,2025-01-27 17:13:36.619206,2025-01-28 11:45:36.789747,85.38,A
IT0195,it,"Conservatorio di VICENZA ""Arrigo Pedrollo""",public,Other,No,ITH3,Veneto,Veneto,ITH32,Vicenza,Vicenza,2025-01-27 17:15:07.083902,2025-01-28 11:45:37.888065,71.8,B
IT0197,it,Istituto Superiore di Studi Musicali di AOSTA della Valle d'Aosta,private,Other,No,ITC2,Valle d’Aosta/Vallée d’Aoste,Valle d’Aosta/Vallée d’Aoste,ITC20,Valle d’Aosta/Vallée d’Aoste,Valle d’Aosta/Vallée d’Aoste,2025-01-27 17:14:54.432205,2025-01-28 11:45:47.991604,73.6,B
IT0198,it,"Istituto Superiore di Studi Musicali di BERGAMO ""Gaetano Donizetti""",private,Other,No,ITC4,Lombardia,Lombardia,ITC46,Bergamo,Bergamo,2025-01-27 17:15:26.225001,2025-01-28 11:46:01.543834,71.8,B
IT0199,it,"Istituto Superiore di Studi Musicali di CALTANISSETTA ""Vincenzo Bellini""",private,Other,No,ITG1,Sicilia,Sicilia,ITG15,Caltanissetta,Caltanissetta,2025-01-27 17:15:59.471770,2025-01-28 11:46:03.057806,71.8,B
IT0202,it,"Istituto Superiore di Studi Musicali di CATANIA ""Vincenzo Bellini""",private,Other,No,ITG1,Sicilia,Sicilia,ITG17,Catania,Catania,2025-01-27 17:17:03.502463,2025-01-28 11:46:06.442820,67.0,B
IT0203,it,"Istituto Superiore di Studi Musicali di CREMONA ""Claudio Monteverdi""",private,Other,No,ITC4,Lombardia,Lombardia,ITC4A,Cremona,Cremona,2025-01-27 17:18:03.850536,2025-01-28 11:46:32.140054,71.8,B
IT0204,it,"Istituto Superiore di Studi Musicali di GALLARATE (VA) ""Giacomo Puccini""",private,Other,No,ITC4,Lombardia,Lombardia,ITC41,Varese,Varese,2025-01-27 17:18:14.139501,2025-01-28 11:46:28.760952,71.8,B
IT0205,it,"Istituto Superiore di Studi Musicali di LIVORNO ""Pietro Mascagni""",private,Other,No,ITI1,Toscana,Toscana,ITI16,Livorno,Livorno,2025-01-27 17:17:35.094133,2025-01-28 11:46:34.640142,71.8,B
IT0206,it,"Istituto Superiore di Studi Musicali di LUCCA ""Luigi Boccherini""",private,Other,No,ITI1,Toscana,Toscana,ITI12,Lucca,Lucca,2025-01-27 17:20:37.510961,2025-01-28 11:47:07.533479,73.6,B
IT0208,it,"Istituto Superiore di Studi Musicali di NOCERA TERINESE (CZ) ""P.I. Tchaikovsky""",private,Other,No,ITF6,Calabria,Calabria,ITF63,Catanzaro,Catanzaro,2025-01-27 17:19:57.792854,2025-01-28 11:47:06.257627,70.6,B
IT0209,it,"Istituto Superiore di Studi Musicali di PAVIA ""Franco Vittadini""",private,Other,No,ITC4,Lombardia,Lombardia,ITC48,Pavia,Pavia,2025-01-27 17:19:40.314089,2025-01-28 11:47:03.457439,71.8,B
IT0210,it,"Istituto Superiore di Studi Musicali di RAVENNA ""Giuseppe Verdi""",private,Other,No,ITH5,Emilia-Romagna,Emilia-Romagna,ITH57,Ravenna,Ravenna,2025-01-27 17:19:17.918497,2025-01-28 11:51:43.806589,71.8,B
IT0212,it,"Istituto Superiore di Studi Musicali di RIMINI ""G. Lettimi""",private,Other,No,ITH5,Emilia-Romagna,Emilia-Romagna,ITH59,Rimini,Rimini,2025-01-27 17:20:43.747104,2025-01-28 11:47:31.944987,74.39,B
IT0214,it,"Istituto Superiore di Studi Musicali di TARANTO ""Giovanni Paisiello""",private,Other,No,ITF4,Puglia,Puglia,ITF43,Taranto,Taranto,2025-01-27 17:20:19.231232,2025-01-28 11:47:46.368571,16.0,F
IT0215,it,"Conservatorio di TERAMO ""Gaetano Braga""",public,Other,No,ITF1,Abruzzo,Abruzzo,ITF12,Teramo,Teramo,2025-01-27 17:22:04.317704,2025-01-28 11:47:51.150976,67.0,B
IT0216,it,"Istituto Superiore di Studi Musicali di TERNI ""Giulio Briccialdi""",private,Other,No,ITI2,Umbria,Umbria,ITI22,Terni,Terni,2025-01-27 17:22:55.208670,2025-01-28 11:47:49.463802,71.8,B
IT0217,it,Istituto Superiore per le Industrie Artistiche (ISIA) di FAENZA (RA),public,Other,No,ITH5,Emilia-Romagna,Emilia-Romagna,ITH57,Ravenna,Ravenna,2025-01-27 17:23:14.596006,2025-01-28 11:48:10.470888,71.8,B
IT0218,it,Istituto Superiore per le Industrie Artistiche (ISIA) di FIRENZE,public,Other,No,ITI1,Toscana,Toscana,ITI14,Firenze,Firenze,2025-01-27 17:23:34.200948,2025-01-28 11:48:09.757886,71.8,B
IT0219,it,Istituto Superiore per le Industrie Artistiche (ISIA) di ROMA,public,Other,No,ITI4,Lazio,Lazio,ITI43,Roma,Roma,2025-01-27 17:26:08.479546,2025-01-28 11:48:17.028100,72.4,B
IT0220,it,Istituto Superiore per le Industrie Artistiche (ISIA) di URBINO (PU),public,Other,No,ITI3,Marche,Marche,ITI31,Pesaro e Urbino,Pesaro e Urbino,2025-01-27 17:24:02.876550,2025-01-28 11:48:31.077093,70.6,B
IT0244,it,LINK CAMPUS University,private,University,No,ITI4,Lazio,Lazio,ITI43,Roma,Roma,2025-01-27 17:25:21.408051,2025-01-28 11:48:32.489135,75.54,B
IT0245,it,"Istituto Superiore di Studi Musicali di MODENA e CARPI ""Orazio Vecchi - Antonio Tonelli""",private,Other,No,ITH5,Emilia-Romagna,Emilia-Romagna,ITH54,Modena,Modena,2025-01-27 17:24:49.100527,2025-01-28 11:48:45.837777,71.8,B
IT0246,it,"Istituto Superiore di Studi Musicali di REGGIO EMILIA e CASTELNOVO NE' MONTI ""Achille Peri e Merulo""",private,Other,No,ITH5,Emilia-Romagna,Emilia-Romagna,ITH53,Reggio nell’Emilia,Reggio nell’Emilia,2025-01-27 17:25:37.726944,2025-01-28 11:48:54.385429,71.8,B
IT0247,it,"Istituto Superiore di Studi Musicali di RIBERA (AG) ""Arturo Toscanini""",private,Other,No,ITG1,Sicilia,Sicilia,ITG14,Agrigento,Agrigento,2025-01-27 17:25:43.172441,2025-01-28 11:48:57.684434,67.0,B
IT0248,it,Humanitas University,private,University,No,ITC4,Lombardia,Lombardia,ITC4C,Milano,Milano,2025-01-27 17:26:28.052048,2025-01-28 11:49:11.665419,79.19,B
IT0249,it,Gran Sasso Science Institute,public,University,No,ITF1,Abruzzo,Abruzzo,ITF11,L’Aquila,L’Aquila,2025-01-27 17:26:42.540097,2025-01-28 11:49:26.493955,82.4,A
IT0250,it,Istituto Superiore per le Industrie Artistiche (ISIA) di PESCARA,public,Other,No,ITF1,Abruzzo,Abruzzo,ITF13,Pescara,Pescara,2025-01-27 17:26:29.806358,2025-01-28 11:49:31.062043,72.59,B
IT0251,it,UniCamillus - Saint Camillus International University of Health Sciences,private,University,No,ITI4,Lazio,Lazio,ITI43,Roma,Roma,2025-01-27 17:31:50.141922,2025-01-28 11:49:46.958579,70.6,B
